DebuffId,Category,Type,Duration,StatType,ModifierType,Value,MaxStacks,PercentPerTick,Interval,AtkPercent,IgnoreGuard
Slow_Basic,Stat,Slow,3,SPD,Multiplier,-0.3,1,,,,false
Slow_Heavy,Stat,Slow,10,SPD,Multiplier,-0.5,1,,,,false
Slow_Zone,Stat,Slow,5,SPD,Multiplier,-0.2,3,,,,false
ArmorBreak_Basic,Stat,ArmorBreak,4,DEF,Flat,-5,2,,,,false
Exhaust_Basic,Stat,Exhaust,5,AS,Multiplier,-0.25,1,,,,false
Exhaust_Basic,,,,SPD,Multiplier,-0.25,1,,,,false
Exhaust_Basic,,,,ATK,Multiplier,-0.2,1,,,,false
Frost_Basic,Stat,Frost,5,AS,Multiplier,-0.25,1,,,,false
Frost_Basic,,,,SPD,Multiplier,-0.25,1,,,,false
Frost_Basic,,,,DEF,Flat,-5,1,,,,false
Poison_Spider,Dot,Poison,4,,,,,0.5,0.5,,false
Ignite_Basic,Dot,Ignite,3,,,,,1,1,,false
Bleed_Basic,Dot,Bleed,6,,,,,0.3,1,,false
Stun_Basic,State,Stun,3,,,,,,,,false
Root_Basic,State,Root,3,,,,,,,,false
Silence_Basic,State,Silence,4,,,,,,,,false
Stun_Warrior,State,Stun,1,,,,,,,,false
Poison_Hunter,Dot,Poison,5,,,,,0,0.5,8,true
Bleed_Vagabond,Dot,Bleed,5,,,,,0,0.5,10,true
Slow_Mercenary,Stat,Slow,5,SPD,Multiplier,-0.3,1,,,,false
SandStom_Map,Dot,SandStom,6,,,,,1,0.5,0,true
Poison_MadScientist,Dot,Poison,5,,,,,0,0.5,12,true
Stun_Knight,State,Stun,1.5,,,,,,,,false
Stun_Smasher,State,Stun,2,,,,,,,,false
Ignite_FireMage,Dot,Ignite,3,,,,,0,1,15,true
Ignite_Destroyer,Dot,Ignite,2,,,,,0,1,20,true
ArmorBreak_Babarian,Stat,ArmorBreak,4,DEF,Multiplier,-0.5,1,,,,false
Frost_Map,Stat,Frost,5,AS,Multiplier,-0.5,1,,,,false
Frost_Map,,,,DEF,Multiplier,-0.5,1,,,,false
Bleed_Babarian,Dot,Bleed,5,,,,,0,0.5,14,true
Bleed_Penetrator,Dot,Bleed,5,,,,,0,0.5,20,true
Slow_MadScientist,Stat,Slow,3,SPD,Multiplier,-0.3,1,,,,false
