Name,Attack,AttackSpeed,Range,Defense,Health,MoveSpeed,UpHealthScale,UpDefenseScale,UpAttackScale,Skills,Type,Class,Attribute,Desc
Chicken,8,1,1,1,100,3.8,28,1,3,,Melee,Normal,None,Chicken_Desc
SpiderNormal,10,1,1,2,110,3.5,30,1,4,Spider_Split,Melee,Normal,None,SpiderNormal_Desc
SpiderToxin,15,1,1,1,90,6,18,1,6,,Melee,Normal,Cloaking,SpiderToxin_Desc
SpiderKing,30,1,2,5,1500,2.5,150,3,12,SpiderKing_Summon,Melee,Elite,Regeneration,SpiderKing_Desc
Bat,10,0.7,2,1,75,3,10,1,5,DamageZoneSkill,Ranged,Normal,Fly,Bat_Desc
Golem,25,0.5,1,5,650,2.5,80,2,11,,Melee,Normal,Regeneration,Golem_Desc
Scorpion,15,1,1,1,50,5,10,1,7,,Melee,Normal,UnJudged,Scorpion_Desc
FireGolem,42,0.5,1,5,500,2.8,80,2,20,,Melee,Normal,Flame,FireGolem_Desc
FireBird,20,0.6,3,2,300,1.8,45,2,9,,Ranged,Normal,Fly|Flame,FireBird_Desc
Spook,10,1,1,1,60,6.5,12,1,7,,Melee,Normal,UnJudged,Spook_Desc
Wraith,33,0.8,2,6,1700,2.3,300,3,16,PhantomBlitz,Ranged,Elite,Regeneration|Berserk,Wraith_Desc
IceGolem,38,0.5,1,5,630,2.5,80,2,16,SpiritofSnow,Melee,Normal,,IceGolem_Desc
DeathAttacker,45,2,2,8,2000,1.5,250,5,25,Death_RushAttackSkill,Ranged,Boss,Regeneration,DeathAttacker_Desc
GrimReaper,55,0.7,1,1,90,5.5,17,1,24,,Melee,Normal,Berserk,GrimReaper_Desc
Worm,20,1.5,1,2,100,4.5,25,1,9,,Melee,Normal,Burrow|Cloaking,Worm_Desc
Spore,30,1,1,1,120,5.5,18,1,14,,Melee,Normal,Swim,Spore_Desc
ScorpionKing,50,0.8,2,7,2300,2.5,310,3,24,StompStun,Melee,Elite,Regeneration,ScorpionKing_Desc
WormQueen,40,1,1,10,1800,1.8,250,3,22,,Melee,Elite,Regeneration|Burrow|Cloaking,WormQueen_Desc
