HeroName,MaxHp,AttackPower,Defence,MaxSp,AttackSpeed,SpRecover,BlockCount,CoolDownPer,CriticalPer,CriticalDmg
BraveCitizen,300,20,0,100,1,5,3,0,0.1,2
Volunteer,180,40,0,100,1.2,5,1,0,0.1,2
Archer,240,60,0,100,1.3,5,1,0,0.1,2
Warrior,400,42,10,100,1,5,4,0,0.1,2
Mage,200,60,0,100,0.8,5,1,0,0.1,2
Lancer,320,55,0,100,0.8,5,2,0,0.1,2
Fighter,350,40,0,100,2,5,2,0,0.1,2
Berserker,600,65,0,100,1,5,2,0,0.1,2
Mercenary,700,70,10,100,0.8,5,4,0,0.1,2
Monk,600,70,5,100,1.7,5,3,0,0.1,2
FireMage,450,100,0,100,0.8,5,1,0,0.1,2
Hunter,500,70,0,100,1.3,5,1,0,0.1,2
Knight,800,50,15,100,1,5,5,0,0.1,2
ThunderMage,450,70,0,100,1.3,5,1,0,0.1,2
Ninja,400,75,0,100,2.5,5,1,0,0.1,2
Samurai,600,80,5,100,1.5,5,3,0,0.1,2
Vagabond,550,70,5,100,1.5,5,3,0,0.1,2
ArchMage,950,160,5,100,1,5,1,0,0.1,2
Destoryer,1040,180,10,100,1,5,1,0,0.1,2
Seeker,900,220,5,100,0.3,5,1,0,0.1,2
Babarian,1500,120,15,100,1,5,5,0,0.1,2
BowMaster,950,150,5,100,1.5,5,1,0,0.1,2
DragonSlayer,1620,120,15,100,1.5,5,4,0,0.1,2
Dragoon,1000,260,10,100,1.5,5,1,0,0.1,2
MadScientist,820,160,0,100,0.5,5,1,0,0.1,2
Smasher,1970,110,20,100,1,5,7,0,0.1,2
Usurper,1860,140,15,100,1,4,6,0,0.1,2
Penetrator,1700,150,15,100,2,3,4,0,0.1,2
Inquisitor,2200,140,30,100,1.5,5,7,0,0.1,2
