UnitId,Tier,HeroName,HeroType
1001,1,BraveCitizen,0
1002,1,Volunteer,1
2001,2,Archer,1
2002,2,Fighter,0
2003,2,Lancer,0
2004,2,Mage,1
2005,2,Warrior,0
3001,3,Berserker,0
3002,3,Mercenary,0
3003,3,Monk,0
3004,3,FireMage,1
3005,3,Hunter,1
3006,3,Knight,0
3007,3,ThunderMage,1
3008,3,Ninja,1
3009,3,Samurai,0
3010,3,Vagabond,0
4001,4,ArchMage,1
4002,4,Destoryer,1
4003,4,Seeker,1
4004,4,Babarian,0
4005,4,BowMaster,1
4006,4,DragonSlayer,0
4007,4,Dragoon,1
4008,4,Inquisitor,0
4009,4,MadScientist,1
4010,4,Penetrator,0
4011,4,Smasher,0
4012,4,Usurper,0
