Region,Id,Count
1,1,1
1,2,2
1,3,2
1,4,2
1,5,1
1,6,2
1,7,3
1,8,3
1,9,3
1,10,1
1,1001,3
1,1002,3
1,1003,3
1,1004,3
1,1005,3
2,1,1
2,2,1
2,3,2
2,4,3
2,5,2
2,6,2
2,7,3
2,8,3
2,9,3
2,10,3
2,1001,3
2,1002,3
2,1003,3
2,1004,3
2,1005,3
3,1,1
3,2,2
3,3,3
3,4,2
3,5,2
3,6,2
3,7,3
3,8,3
3,9,3
3,10,3
3,1001,3
3,1002,3
3,1003,3
3,1004,3
3,1005,3
4,1,2
4,2,2
4,3,3
4,4,2
4,5,2
4,6,2
4,7,3
4,8,3
4,9,3
4,10,3
4,1001,3
4,1002,3
4,1003,3
4,1004,3
4,1005,3
5,1,1
5,2,2
5,3,3
5,4,2
5,5,3
5,6,2
5,7,3
5,8,3
5,9,3
5,10,3
5,1001,3
5,1002,3
5,1003,3
5,1004,3
5,1005,3
6,1,1
6,2,1
6,3,2
6,4,2
6,5,2
6,6,2
6,7,3
6,8,3
6,9,3
6,10,3
6,1001,3
6,1002,3
6,1003,3
6,1004,3
6,1005,3
