Region,ID,MonsterName,Prefab,Count,SpawnTime,Delay
1,0,Chicken,Resources/EnemyUnitPrefabs/Chicken,1,0,0.5
1,1,Chicken,Resources/EnemyUnitPrefabs/Chicken,5,0,0.5
1,2,Chicken,Resources/EnemyUnitPrefabs/Chicken,8,0,0.5
1,3,Chicken,Resources/EnemyUnitPrefabs/Chicken,10,0,0.5
1,4,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,3,4.5,0.3
1,4,Chicken,Resources/EnemyUnitPrefabs/Chicken,6,0,0.5
1,5,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,2,5.5,0.3
1,5,Chicken,Resources/EnemyUnitPrefabs/Chicken,12,0,0.5
1,5,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,10,0
1,6,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,5,7,0.3
1,6,Chicken,Resources/EnemyUnitPrefabs/Chicken,15,0,0.5
1,7,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,4,4,0.5
1,7,Chicken,Resources/EnemyUnitPrefabs/Chicken,8,0,0.5
1,7,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,3,5.6,0.5
1,8,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,4,0,0.5
1,8,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,5,3.5,0.5
1,8,Golem,Resources/EnemyUnitPrefabs/Golem,3,6,0.5
1,9,Golem,Resources/EnemyUnitPrefabs/Golem,3,0,0.5
1,9,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,7,7.5,0.5
1,9,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,6,4,0.5
1,10,Golem,Resources/EnemyUnitPrefabs/Golem,3,13,0.7
1,10,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,6,9,0.6
1,10,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,4,6,0.7
1,10,Chicken,Resources/EnemyUnitPrefabs/Chicken,10,0,0.8
1,1001,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,10,0,0.6
1,1001,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,8,6,0.4
1,1002,Chicken,Resources/EnemyUnitPrefabs/Chicken,15,0,0.5
1,1002,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,14,10,0.3
1,1003,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,15,0,0.3
1,1003,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,10,8,0.4
1,1004,Golem,Resources/EnemyUnitPrefabs/Golem,8,10,0.5
1,1004,Chicken,Resources/EnemyUnitPrefabs/Chicken,18,0,0.5
1,1004,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,6,5,0.3
1,1005,SpiderNormal,Resources/EnemyUnitPrefabs/SpiderNormal,14,0,0.3
1,1005,SpiderToxin,Resources/EnemyUnitPrefabs/SpiderToxin,12,8,0.4
1,1005,SpiderKing,Resources/EnemyUnitPrefabs/SpiderKing,1,13,2.5
